vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio,anomaly_label,anomaly_score
733655,2026-01-29,21.091,34.35,36.84,3,8.080555555555556,1,0,0.0,1,0.006826044820514077
795852,2026-01-29,26.824,71.18333333333334,22.61,5,11.339722222222225,1,0,0.0,1,0.055015468352372976
821937,2026-01-29,138.187,377.95,21.94,19,7.826944444444444,4,3722,0.1641310579000749,-1,-0.04853386890579592
822011,2026-01-29,97.609,291.1166666666667,20.28,11,9.211666666666666,2,6554,0.3752218469113185,1,0.007330041441869217
821540,2026-01-29,40.576,174.65,13.94,9,10.40277777777778,0,2798,0.2670102108979864,1,0.06960870111484346
822319,2026-01-29,49.767,99.01666666666668,30.16,9,12.351666666666668,1,3152,0.5305504123884868,-1,-0.0036755625956614857
822292,2026-01-29,44.896,119.53333333333332,22.54,8,12.105277777777776,0,1106,0.1542108198549916,1,0.07031526644378183
821509,2026-01-29,96.19,314.9166666666667,18.33,7,8.931944444444444,1,2407,0.1273881979359619,1,0.09313838199995839
822389,2026-01-29,95.432,311.3666666666667,18.39,12,8.158055555555556,0,3671,0.1964993041430253,1,0.08725760501747959
795860,2026-01-29,9.875,54.61666666666667,10.85,3,7.923611111111111,0,272,0.0830027464144034,1,0.016063213269202792
