vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio,anomaly_label,anomaly_score
733655,2026-01-22,35.932,76.33333333333333,28.24,4,10.068333333333332,4,0,0.0,1,0.007508927904948615
795852,2026-01-22,32.148,77.41666666666667,24.92,6,10.054444444444444,1,535,0.1151776103336921,1,0.10349652228178624
822588,2026-01-22,88.9,231.11666666666667,23.08,13,12.737777777777778,1,6679,0.4816470757914473,1,0.10151429128927203
821937,2026-01-22,106.653,360.8833333333333,17.73,17,8.803055555555556,0,7106,0.3281762342400591,1,0.09198162365598084
822011,2026-01-22,92.149,308.9166666666667,18.92,17,11.171111111111111,1,6692,0.3610466684650661,1,0.13527043142449063
821540,2026-01-22,180.711,413.9,26.2,12,9.599444444444444,2,3771,0.1518482725295965,1,0.0642891056438224
822333,2026-01-22,23.262,53.63333333333333,26.02,4,13.809722222222222,0,355,0.1103169670602858,1,0.07206776061548387
822292,2026-01-22,69.009,219.9333333333333,18.83,14,12.910277777777775,0,5836,0.4422552288572294,1,0.10244938005838494
821509,2026-01-22,177.75,523.7833333333333,20.36,12,7.821388888888888,1,5052,0.1607534922200655,1,0.09031820399513346
822389,2026-01-22,174.186,546.65,19.12,26,7.070833333333334,1,11934,0.3638525564803805,-1,-0.007508927904948504
795860,2026-01-22,8.683,40.86666666666667,12.75,8,15.466388888888888,0,150,0.0611745513866231,-1,-0.009520857894475099
