vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio,anomaly_label,anomaly_score
733655,2026-01-28,10.264,21.58333333333333,28.53,2,7.996111111111111,1,0,0.0,1,0.041905267096002285
795852,2026-01-28,8.846,16.933333333333334,31.34,2,8.6825,1,0,0.0,1,0.027612916618330652
822588,2026-01-28,32.933,134.25,14.72,4,8.073611111111111,0,1344,0.166852886405959,1,0.07958089590830486
821937,2026-01-28,82.719,217.05,22.87,10,6.308055555555556,0,3567,0.2739000230361668,-1,-0.021722321325462923
822011,2026-01-28,59.318,165.73333333333332,33.49,7,6.139444444444444,0,2033,0.204444891391794,1,0.05471960201674364
821540,2026-01-28,15.029,27.98333333333333,32.22,3,9.368333333333334,0,984,0.586063132817153,1,0.037567554047347684
822319,2026-01-28,32.878,55.36666666666667,35.63,8,9.220833333333331,0,2558,0.7700180614087899,-1,-0.012243585527265566
822292,2026-01-28,15.819,49.25,19.27,5,8.895833333333334,0,426,0.1441624365482233,1,0.05461695958333279
821509,2026-01-28,63.906,208.86666666666667,18.36,5,6.8341666666666665,0,3174,0.2532716246409192,1,0.07228052898235432
822389,2026-01-28,45.372,170.56666666666666,15.96,7,6.565277777777778,0,2247,0.2195622435020519,1,0.09587396163739115
795860,2026-01-28,9.716,41.56666666666667,14.02,3,7.175,1,910,0.3648757016840417,1,0.012243585527265566
